HomeTeam;AwayTeam;FTHG;FTAG;FTR;OddsHome;OddsDraw;OddsAway
Malta ; Romania;0;4;A;14.35;6.38;1.22
North Macedonia ; Austria;1;4;A;3.49;3.15;2.29
Poland ; Israel;4;0;H;1.53;4.17;6.58
Serbia ; Lithuania ;4;1;H;1.14;8.46;22.04
Spain ; Sweden;3;0;H;1.3;5.57;11.42
Ukraine ; Luxembourg;1;0;H;1.12;9.2;25.3
Belarus ; Germany;0;2;A;16.31;8.08;1.17
Belgium ; Kazakhstan;3;0;H;1.03;19.25;56.81
Greece ; Italy;0;3;A;5.79;3.33;1.75
Scotland ; Cyprus;2;1;H;1.34;4.96;10.72
Turkey ; France;2;0;H;5.68;3.92;1.63
Armenia ; Liechtenstein;3;0;H;1.14;8.32;20.29
Azerbaijan ; Hungary;1;3;A;4.03;3.13;2.08
Estonia ; Northern Ireland;1;2;A;5.14;3.1;1.89
Finland ; Bosnia & Herzegovina;2;0;H;2.59;3.05;3.07
Moldova ; Andorra;1;0;H;1.48;3.88;9.07
Russia ; San Marino;9;0;H;1.01;30.75;61.31
Croatia ; Wales;2;1;H;1.7;3.56;5.7
Iceland ; Albania;1;0;H;1.78;3.34;5.52
Czech Republic ; England;2;1;H;4.75;3.79;1.78
Turkey ; Albania;1;0;H;1.45;4.43;8.06
Austria ; Israel;3;1;H;1.44;4.99;7.08
Belgium ; San Marino;9;0;H;1;38.91;100.38
Croatia ; Hungary;3;0;H;1.39;4.84;8.6
Latvia ; Poland;0;3;A;17.3;7.49;1.17
Netherlands ; Northern Ireland;3;1;H;1.18;7.46;16.89
North Macedonia ; Slovenia;2;1;H;3.13;3.2;2.44
Russia ; Scotland;4;0;H;1.43;4.53;8.53
Slovakia ; Wales;1;1;D;2.54;3.15;3.07
Belarus ; Estonia;0;0;D;1.47;4.26;7.9
Kazakhstan ; Cyprus;1;2;A;2.24;3.15;3.56
Albania ; Iceland;4;2;H;3.08;3.08;2.57
England ; Kosovo;5;3;H;1.14;8.64;19.64
France ; Andorra;3;0;H;1.01;36.15;99.84
Lithuania ; Portugal;1;5;A;33.17;10.43;1.09
Luxembourg ; Serbia;1;3;A;8.95;5.04;1.36
Moldova ; Turkey;0;4;A;15;5.76;1.25
Montenegro ; Czech Republic;0;3;A;3.89;3.57;1.98
Estonia ; Netherlands;0;4;A;33.31;10.43;1.09
Hungary ; Slovakia;1;2;A;2.22;3.29;3.53
Latvia ; North Macedonia;0;2;A;7.52;4.18;1.49
Northern Ireland ; Germany;0;2;A;10.03;5.36;1.33
Poland ; Austria;0;0;D;2.35;3.32;3.23
Russia ; Kazakhstan;1;0;H;1.17;7.62;17.87
San Marino ; Cyprus;0;4;A;34.78;11.26;1.09
Scotland ; Belgium;0;4;A;8.1;4.61;1.43
Slovenia ; Israel;3;2;H;1.72;3.69;5.41
Azerbaijan ; Croatia;1;1;D;11.88;5.62;1.29
Finland ; Italy;1;2;A;5.45;3.43;1.78
Greece ; Liechtenstein;1;1;D;1.04;15.75;44.85
Spain ; Faroe Islands;4;0;H;1.01;31.89;60.2
Sweden ; Norway;1;1;D;1.9;3.51;4.45
Georgia ; Denmark;0;0;D;7.47;4.6;1.44
Romania ; Malta;1;0;H;1.04;17.69;59.58
Switzerland ; Gibraltar;4;0;H;1.01;36.16;75.19
Armenia ; Bosnia & Herzegovina;4;2;H;4.66;3.97;1.74
France ; Albania;4;1;H;1.16;7.74;22.1
Serbia ; Portugal;2;4;A;3.35;3.51;2.22
Turkey ; Andorra;1;0;H;1.02;23.14;54.8
England ; Bulgaria;4;0;H;1.1;10.65;29.77
Iceland ; Moldova;3;0;H;1.24;6.12;14.09
Lithuania ; Ukraine;0;3;A;14.23;5.75;1.25
Kosovo ; Czech Republic;2;1;H;3.48;3.33;2.21
Austria ; Latvia;6;0;H;1.06;14.27;36.74
San Marino ; Belgium;0;4;A;114.36;37.21;1.01
Scotland ; Russia;1;2;A;3.17;3.08;2.53
Slovakia ; Croatia;0;4;A;3.15;3.19;2.46
Slovenia ; Poland;2;0;H;3.77;3.17;2.19
Wales ; Azerbaijan;2;1;H;1.24;5.82;15.39
Spain ; Malta;7;0;H;1.01;32.8;71.57
Switzerland ; Georgia;1;0;H;1.21;6.57;15.96
Armenia ; Greece;0;1;A;3.67;3.44;2.1
Finland ; Liechtenstein;3;0;H;1.07;12.72;33.1
Norway ; Faroe Islands;4;0;H;1.11;9.66;29.04
Albania ; Andorra;2;2;D;1.17;7.02;19.23
Czech Republic ; Kosovo;2;1;H;1.6;4.12;5.7
England ; Montenegro;7;0;H;1.06;14.3;39.98
France ; Moldova;2;1;H;1.01;26.63;70.06
Portugal ; Lithuania;6;0;H;1.02;21.97;60.02
Serbia ; Luxembourg ;3;2;H;1.15;7.87;19.34
Turkey ; Iceland;0;0;D;1.63;3.91;5.76
Faroe Islands ; Malta;1;0;H;1.59;3.7;7.23
Gibraltar ; Georgia;2;3;A;16.07;7.12;1.19
Greece ; Bosnia & Herzegovina;2;1;H;3.62;3.29;2.17
Israel ; Latvia;3;1;H;1.15;8.45;18.37
Liechtenstein ; Italy;0;5;A;55.19;20.81;1.03
Romania ; Norway;1;1;D;2.98;3.37;2.48
Sweden ; Spain;1;1;D;5.06;3.62;1.78
Switzerland ; Ireland;2;0;H;1.51;3.99;7.93
Finland ; Armenia;3;0;H;1.56;4.16;6.5
Bulgaria ; England;0;6;A;13.6;6.44;1.23
France ; Turkey;1;1;D;1.43;4.47;8.82
Iceland ; Andorra;2;0;H;1.07;13.37;33.48
Kosovo ; Montenegro;2;0;H;1.56;3.94;6.82
Lithuania ; Serbia;1;2;A;12.46;5.94;1.26
Moldova ; Albania;0;4;A;5.57;3.18;1.84
Ukraine ; Portugal;2;1;H;3.7;3.24;2.19
Estonia ; Germany;0;3;A;46.13;18.11;1.03
Poland ; North Macedonia;2;0;H;1.49;4.15;7.83
Slovenia ; Austria;0;1;A;2.89;3.14;2.69
Wales ; Croatia;1;1;D;3.44;3.2;2.3
Belarus ; Netherlands;1;2;A;12.5;6.4;1.24
Cyprus ; Russia;0;5;A;8.62;4.51;1.43
Hungary ; Azerbaijan;1;0;H;1.33;5.1;10.45
Scotland ; San Marino;6;0;H;1.01;28;72.83
Kazakhstan ; Belgium;0;2;A;12.24;6.4;1.24
Italy ; Greece;2;0;H;1.22;6.3;15.37
Liechtenstein ; Armenia;1;1;D;16.01;6.46;1.21
Malta ; Sweden;0;4;A;35.96;11.21;1.08
Norway ; Spain;1;1;D;5.57;3.91;1.66
Bosnia & Herzegovina ; Finland;4;1;H;2;3.25;4.32
Denmark ; Switzerland;1;0;H;2.34;3.21;3.37
Faroe Islands ; Romania;0;3;A;10.2;5.13;1.34
Georgia ; Ireland;0;0;D;3.42;2.87;2.52
Andorra ; Moldova;1;0;H;4.66;2.85;2.1
Iceland ; France;0;1;A;6.95;4.12;1.54
Montenegro ; Bulgaria;0;0;D;2.18;3.37;3.58
Portugal ; Luxembourg;3;0;H;1.05;15.78;42.78
Ukraine ; Lithuania;2;0;H;1.07;12.84;31.33
Hungary ; Iceland ;2;1;H;2.18;3.11;3.84
Northern Ireland ; Slovakia ;1;2 ;A;2.46;2.96;3.38
Serbia ; Scotland ;1;2 ;A;1.81;3.42;5.12
Georgia ; North Macedonia ;0;1;A;2.66;2.82;3.23
Bosnia & Herzegovina ; Northern Ireland;1;2 ;A;1.68;3.69;5.86
Bulgaria ; Hungary;1;3;A;3.32;3.02;2.45
Iceland ; Romania;2;1;H;2.38;3.1;3.37
North Macedonia ; Kosovo ;2;1;H;2.28;3.19;3.48
Norway ; Serbia;1;2 ;A;2.15;3.36;3.62
Scotland ; Israel ;1;0 ;A;2.33;3.28;3.27
Slovakia ; Ireland ;1;0 ;A;3.63;3.06;2.35
Georgia ; Belarus ;1;0;H;2.03;3.15;4.37
Belgium ; Cyprus;6;1;H;1.02;22.59;67.46
Germany ; Northern Ireland;6;1;H;1.1;10.23;28.74
Latvia ; Austria;1;0;H;20.08;7.54;1.16
Netherlands ; Estonia;5;0;H;1.02;24.13;71.73
North Macedonia ; Israel;1;0;H;2.47;3.54;2.81
Poland ; Slovenia;3;2;H;1.74;3.66;5.26
San Marino ; Russia;0;5;A;83.05;36.91;1
Scotland ; Kazakhstan;3;1;H;1.56;4.07;6.41
Slovakia ; Azerbaijan;2;0;H;1.19;6.83;17.81
Wales ; Hungary;2;0;H;1.54;4.25;6.5
Gibraltar ; Switzerland;1;6;A;60.25;26.96;1.01
Greece ; Finland;2;1;H;1.84;3.48;4.78
Ireland ; Denmark;1;1;D;3.08;3.12;2.54
Italy ; Armenia;9;1;H;1.09;10.38;30.7
Liechtenstein ; Bosnia & Herzegovina;0;3;A;20.47;8.34;1.14
Malta ; Norway;1;2;A;29.44;9.85;1.1
Spain ; Romania;5;0;H;1.17;7.61;16.74
Sweden ; Faroe Islands;3;0;H;1.11;9.19;28.27
Albania ; France;0;2;A;7.97;4.57;1.43
Andorra ; Turkey;0;2;A;15.86;7.27;1.18
Moldova ; Iceland;1;2;A;8.63;4.31;1.44
Bulgaria ; Czech Republic ;1;0;H;4.68;3.93;1.74
Kosovo ; England;0;4;A;7.51;5.09;1.41
Luxembourg ; Portugal;0;2;A;36.42;11.71;1.08
Serbia ; Ukraine ;2;2;D;2.12;3.55;3.52
Austria ; North Macedonia;2;1;H;1.23;6.58;13.82
Croatia ; Slovakia;3;1;H;1.46;4.48;7.54
Germany ; Belarus;4;0;H;1.05;14.83;42.02
Israel ; Poland;1;2;A;2.82;3.43;2.55
Northern Ireland ; Netherlands;0;0;D;7.34;4.22;1.5
Azerbaijan ; Wales;0;2;A;7.25;3.91;1.54
Russia ; Belgium;1;4;A;3.35;3.75;2.13
San Marino ; Kazakhstan;1;3;A;36.71;12.07;1.07
Slovenia ; Latvia;1;0;H;1.09;10.28;33.73
Cyprus ; Scotland;1;2;A;3.37;3.31;2.26
Bosnia & Herzegovina ; Italy;0;3;A;3.74;3.66;2.01
Denmark ; Gibraltar;6;0;H;1;36.47;81.13
Romania ; Sweden;0;2;A;2.75;3.27;2.74
Belgium ; Wales ;3;1;H;1.36;4.98;9.7
Cyprus ; Slovakia ;0;0;D;4.65;3.36;1.89
Estonia ; Czech Republic ;2;6;A;35.82;14.35;1.05
Finland ; Bosnia & Herzegovina ;2;2;D;2.83;3.17;2.69
France ; Ukraine ;1;1;D;1.28;5.69;11.3
Gibraltar ; Norway ;0;3;A;63.08;25.33;1.01
Latvia ; Montenegro ;1;2;A;6.11;3.33;1.72
Malta ; Russia ;1;3;A;27.08;9.74;1.11
Portugal ; Azerbaijan ;1;0;H;1.03;17.69;48.52
Serbia ; Ireland ;3;2;H;1.94;3.2;4.66
Slovenia ; Croatia ;1;0;H;5.05;3.49;1.79
Turkey ; Netherlands ;4;2;H;5.14;3.78;1.71
Andorra ; Albania ;0;1;A;11.92;5.1;1.3
England ; San Marino ;5;0;H;1;35.41;87.88
Germany ; Iceland ;3;0;H;1.13;9.21;19.12
Hungary ; Poland ;3;3;D;4;3.25;2.06
Italy ; Northern Ireland ;2;0;H;1.17;7.12;20.8
Liechtenstein ; Armenia ;0;1;A;10.9;5.12;1.32
Moldova ; Faroe Islands ;1;1;D;2.49;2.89;3.38
Romania ; North Macedonia ;3;2;H;2.08;3.2;3.98
Scotland ; Austria ;2;2;D;3.07;3.1;2.55
Spain ; Greece ;1;1;D;1.22;6.51;14.07
Sweden ; Georgia ;1;0;H;1.33;5.11;10.93
Bulgaria ; Switzerland ;1;3;A;9.38;4.5;1.4
Israel ; Denmark ;0;2;A;4.87;3.59;1.79
Czech Republic ; Belgium ;1;1;D;5.44;4.05;1.63
Ireland ; Luxembourg ;0;1;A;1.55;3.97;6.69
Serbia ; Portugal ;2;2;D;5.05;3.78;1.72
Slovakia ; Malta ;2;2;D;1.21;6.49;15.77
Belarus ; Estonia ;4;2;H;1.45;4.54;7.5
Croatia ; Cyprus ;1;0;H;1.13;8.89;22.13
Netherlands ; Latvia ;2;0;H;1.02;21.35;47.54
Norway ; Turkey ;0;3;A;2.16;3.37;3.55
Montenegro ; Gibraltar ;4;1;H;1.07;12.25;34.35
Russia ; Slovenia ;2;1;H;1.89;3.3;4.79
Belgium ; Belarus ;8;0;H;1.13;8.77;23.91
Croatia ; Malta ;3;0;H;1.07;12.34;36.51
Gibraltar ; Netherlands ;0;7;A;72.58;30.33;1.01
Luxembourg ; Portugal ;1;3;A;23.56;9.23;1.12
Montenegro ; Norway ;0;1;A;4.43;3.51;1.88
Slovakia ; Russia ;2;1;H;4.62;3.38;1.89
Turkey ; Latvia ;3;3;D;1.15;8.22;19.7
Wales ; Czech Republic ;1;0;H;3.29;3.22;2.34
Saudi Arabia ; Palestine ;5;0;H;1.37;4.51;8.73
Azerbaijan ; Serbia ;1;2;A;9.12;4.57;1.39
Cyprus ; Slovenia ;1;0;H;4.82;3.29;1.88
Austria ; Faroe Islands ;3;1;H;1.08;11.12;30.39
Bulgaria ; Italy ;0;2;A;14.08;6.25;1.23
Israel ; Scotland ;1;1;D;2.75;3.16;2.75
Kosovo ; Sweden ;0;3;A;5.55;3.7;1.68
North Macedonia ; Liechtenstein ;5;0;H;1.08;10.98;33.18
Poland ; Andorra ;3;0;H;1.01;21.15;66.05
Romania ; Germany ;0;1;A;10.16;5.88;1.29
San Marino ; Hungary ;0;3;A;60.31;18.19;1.02
Switzerland ; Lithuania ;1;0;H;1.07;12.76;35.98
Ukraine ; Finland ;1;1;D;1.76;3.47;5.4
Albania ; England ;0;2;A;13.62;6.06;1.24
Armenia ; Iceland ;2;0;H;3.82;3.18;2.15
Denmark ; Moldova ;8;0;H;1.1;10.51;24.73
Georgia ; Spain ;1;2;A;16.6;6.84;1.2
Kazakhstan ; France ;0;2;A;30.65;10.56;1.09
